horizon_ms,metric,pose_only,heatmap_pose,delta_abs,delta_rel_pct
50,exact_match_accuracy,0.14055884843353092,0.12997195308516063,-0.01058689534837029,-7.53200205206344
50,per_cell_accuracy,0.7454601649967071,0.7883472381026368,0.04288707310592976,5.75310058400226
50,precision,0.5781356858531101,0.6912481993970079,0.11311251354389773,19.565046114907496
50,recall,0.2286222799700012,0.42685079742002885,0.19822851745002765,86.70568654815196
50,f1,0.32766877857079346,0.5277884086610175,0.20011963009022404,61.0737559321624
50,iou,0.19593533528050824,0.35850037573810417,0.16256504045759593,82.96872038157989
50,latency_ms_mean,0.09074654619937861,0.12063511407685745,0.029888567877478844,32.93631452574611
50,latency_ms_p95,0.08039912208914757,0.12458385899662971,0.04418473690748215,54.95674052073547
50,peak_memory_mb,1.0020265579223633,42.37607955932617,41.37405300140381,4129.037566348561
50,samples,17715.0,15688.0,-2027.0,-11.442280553203501
100,exact_match_accuracy,0.14393724063441532,0.11295363224695452,-0.030983608387460795,-21.52577626950327
100,per_cell_accuracy,0.7472476825862657,0.7864149831515616,0.039167300565295826,5.24154192485892
100,precision,0.583514180074411,0.6905304219454331,0.1070162418710221,18.339955655812023
100,recall,0.22766238076344658,0.40855213134709617,0.1808897505836496,79.4552661608172
100,f1,0.3275346795221923,0.5133694003251611,0.1858347208029688,56.73741817937098
100,iou,0.19583944462813654,0.34532411779862937,0.14948467317049283,76.3302170583342
100,latency_ms_mean,0.09396045913099293,0.11139007919503685,0.017429620064043916,18.54995199602504
100,latency_ms_p95,0.08078711107373238,0.11136005632579311,0.030572945252060738,37.84384024347346
100,peak_memory_mb,1.0048656463623047,42.35615253448486,41.35128688812256,4115.106038087537
100,samples,17591.0,15679.0,-1912.0,-10.869194474447161
150,exact_match_accuracy,0.1495704318745315,0.12050577942397343,-0.029064652450558073,-19.43208432729486
150,per_cell_accuracy,0.7468341536390762,0.7892686555721417,0.042434501933065416,5.681917695688674
150,precision,0.5832555661235214,0.6967489066469958,0.11349334052347448,19.458595359454993
150,recall,0.2173942037864219,0.41251869871331664,0.19512449492689474,89.75607055218181
150,f1,0.3167336934741983,0.5182193204075124,0.20148562693331412,63.61357540565148
150,iou,0.1881661221675165,0.3497274107731183,0.16156128860560182,85.86098642229047
150,latency_ms_mean,0.09222271904445557,0.1145893190972242,0.022366600052768623,24.25280916081741
150,latency_ms_p95,0.0784862320870161,0.09877751581370718,0.020291283726691076,25.85330342294243
150,peak_memory_mb,1.0034523010253906,42.35740661621094,41.35395431518555,4121.167919285
150,samples,17343.0,15659.0,-1684.0,-9.709969440119934
200,exact_match_accuracy,0.15157674661710901,0.10722729886893731,-0.044349447748171705,-29.258741025891517
200,per_cell_accuracy,0.7471782775083725,0.7870775488849128,0.03989927137654026,5.33999348985265
200,precision,0.5819249061921243,0.6781586541449452,0.09623374795282091,16.53714197980195
200,recall,0.21349604759027965,0.42158724137160003,0.20809119378132038,97.4684056824641
200,f1,0.31238469863178797,0.5199438113455421,0.20755911271375416,66.44343132773186
200,iou,0.18510421088178458,0.35130004883005905,0.16619583794827447,89.78501199760075
200,latency_ms_mean,0.08909528334252136,0.11385787019293159,0.02476258685041023,27.79337572249699
200,latency_ms_p95,0.07902979850769043,0.0924640335142608,0.013434235006570372,16.998948827211144
200,peak_memory_mb,0.9969978332519531,42.379560470581055,41.3825626373291,4150.717409520311
200,samples,17219.0,15649.0,-1570.0,-9.117834949764795
