horizon_ms,model,train_samples,test_samples,top1_pct,top3_pct,top5_pct,top10_pct,roi_distance_error_mean,roi_distance_error_median,latency_ms_mean,latency_ms_p95,peak_memory_mb,loss_start,loss_end,loss_drop
50,6dof,82213,17715,14.355066327970647,31.109229466553767,39.333897826700536,57.00818515382444,46.914178149769114,42.94721249999999,0.1242910662149175,0.1084174495190382,1.246861457824707,5.408254504296567,4.182480299704734,1.2257742045918327
50,heatmap_6dof,72534,15688,12.920703722590515,40.69352371239164,52.281998980112185,72.32279449260581,43.12804063973567,42.94721249999999,0.14427355155804703,0.12263783719390628,42.751593589782715,4.60914113246417,3.4220508995812513,1.1870902328829183
50,heatmap_minus_6dof,-9679,-2027,-1.4343626053801324,9.58429424583787,12.94810115341165,15.31460933878137,-3.7861375100334413,0.0,0.01998248534312952,0.014220387674868079,41.50473213195801,-0.7991133718323971,-0.7604294001234826,-0.038683971708914466
100,6dof,81638,17591,14.41646296401569,31.243249388892046,39.68506622704792,57.29065999658916,46.79656213393073,42.94721249999999,0.12275715368667454,0.10669045150279999,1.2066841125488281,5.399020283386625,4.175314608505901,1.2237056748807245
100,heatmap_6dof,72497,15679,13.476624784743926,41.03578034313413,52.45232476561005,72.58753747050196,42.47499220001156,42.94721249999999,0.15391791097416366,0.12966995127499073,42.731961250305176,4.596769684424257,3.410433663037217,1.18633602138704
100,heatmap_minus_6dof,-9141,-1912,-0.9398381792717625,9.792530954242078,12.767258538562126,15.296877473912785,-4.321569933919164,0.0,0.031160757287489113,0.022979499772190742,41.52527713775635,-0.8022505989623685,-0.764880945468684,-0.037369653493684485
150,6dof,80489,17343,14.351611601222395,31.55740068038978,39.8431643890907,57.314190163178225,46.558099160834644,42.94721249999999,0.12666018005156127,0.10780869051814079,1.1983156204223633,5.391212944385547,4.16523413476201,1.2259788096235367
150,heatmap_6dof,72423,15659,13.289482086978735,41.32447793601124,52.60233731400472,72.39287310811675,42.72935425837675,42.94721249999999,0.1482067183511788,0.11855633929371832,42.72723388671875,4.58154642044866,3.396297168862009,1.1852492515866513
150,heatmap_minus_6dof,-8066,-1684,-1.0621295142436593,9.767077255621459,12.759172924914019,15.078682944938516,-3.828744902457892,0.0,0.02154653829961753,0.010747648775577531,41.52891826629639,-0.8096665239368868,-0.7689369659000014,-0.04072955803688538
200,6dof,79913,17219,14.234276090365295,31.55235495673384,40.821185899297284,57.715314478192695,46.59914043420585,42.94721249999999,0.12775142060807929,0.11230427771806717,1.1673898696899414,5.384133928579937,4.158521467919727,1.2256124606602095
200,heatmap_6dof,72386,15649,13.425778004984343,42.0090740622404,53.26857946194645,72.9567384497412,42.95804420954356,42.94721249999999,0.14770979800758077,0.12145685032010067,42.74978446960449,4.568465941292711,3.385041210997863,1.1834247302948482
200,heatmap_minus_6dof,-7527,-1570,-0.8084980853809515,10.456719105506556,12.447393562649168,15.241423971548507,-3.6410962246622915,0.0,0.019958377399501487,0.009152572602033504,41.58239459991455,-0.8156679872872257,-0.7734802569218644,-0.042187730365361276
